smiles,heavy_atoms
Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21,20
Cc1ccc2c(c1)c1nnc(-n3ccnc3)nc1n2C,20
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Br,20
CCn1nc(-c2cccnc2)c2ccccc2c1=O,19
Cc1ccc(NC(=O)Nc2cccnc2)cc1Cl,18
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,20
Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,18
CC(=O)Nc1ccccc1-c1nc2ccccc2s1,19
Nc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,19
O=C1N=C(N2CCOCC2)CN1c1ccc(Cl)cc1,19
c1ccc2c(c1)CCCC2Nc1ncnc2[nH]cnc12,20
CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,19
O=c1onc2n1-c1cc(Br)ccc1OC2,15
CSc1cc(-c2ccc(Br)cc2)oc(=O)c1C#N,18
COCC(NC(C)=O)C(=O)NCc1ccccc1,18
Cc1cc(O)c(C)c2sc(NCc3cccnc3)nc12,20
COc1cc(Br)c2c(c1OC)C(=O)CC2,15
COc1cc2ncc(-c3ccccc3)nc2cc1OC,20
O=C1c2ccccc2C2(c3ccccc3)OCCN12,19
COc1ccc2[nH]cc(CCNC(=O)C3CC3)c2c1,19
COc1ccc(CC(=O)c2c(O)cc(O)cc2O)cc1,20
O=C(Nc1ccc(-c2cc[nH]n2)cc1)c1ccccc1,20
CC(=O)N1CCN(C(=O)Nc2ccc(F)cc2)CC1,19
O=C(NCC1CCCO1)c1c[nH]c2ccccc2c1=O,20
COc1ccccc1C(=O)Nc1ccnc2[nH]ncc12,20
COc1ccc2c(c1)S(=O)(=O)N=C(NC(C)C)N2,18
Oc1ccc(-c2nc3cc(O)cc(Br)c3o2)cc1,18
O=C(NC1Cc2ccccc2C1)c1ccc(F)cc1,19
COC1=CC(=O)OC1C(O)c1ccccc1Cl,17
COc1c(C)cnc(CSc2nnnn2C)c1C,18
O=c1[nH]c(=O)n(C2COC(CO)O2)cc1Br,16
COc1ccc(Cc2cnc(N)nc2N)c(OC)c1,19
Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1,19
COc1ccc2c(c1)C(=O)C(Cc1cccnc1)CO2,20
COc1c(C(C)=O)c(O)c(SC)c2occc12,17
Cc1cc(C(=O)Nc2c(C)cccc2C)ccc1N,19
Cn1c(=O)oc2ccc(C(=O)c3ccccc3)cc21,19
OCC(Cc1ccccc1)Nc1ncnc2[nH]cnc12,20
Cc1cc(N2CCN(S(C)(=O)=O)CC2)ncn1,17
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,16
Cc1cc(=O)c(N)nn1-c1cc(C(F)(F)F)ccc1Cl,20
Cc1cccnc1-n1c(C)nc2ccccc2c1=O,19
O=C(CCc1ccc(O)cc1)c1ccc(O)cc1O,19
Cn1c(O)c(C(=O)Nc2ccccc2)c2cccnc21,20
COc1ccc(C(=O)NC2CCCCNC2=O)cc1,19
CC(=O)Nc1ccc(S(=O)(=O)NCC2CCCO2)cc1,20
Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1,20
Cn1ccc2cc(NC(=O)Nc3cncnc3)ccc21,20
Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)cn1,18
O=C(Nc1ccccc1)Nc1ccc2ncccc2c1,20
O=C(Nc1cccnc1)Nc1cccc(C(F)(F)F)c1,20
O=C(Nc1cccnc1)c1cc(=O)c2ccccc2o1,20
CC(Oc1ccc(Cl)cc1)c1ccnc2ncnn12,19
CC(=O)Nc1ccccc1-c1nc2ccccc2o1,19
O=C1N=C(N2CCCCC2)CN1c1ccc(Cl)cc1,19
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1F,19
CN(C)S(=O)(=O)N1CCN(c2ncccn2)CC1,18
Cc1sc2[nH]c(=O)n(C3CCCCC3)c(=O)c2c1C,19
Cc1ccc(OCc2nn3c(=O)c(C)nnc3s2)cc1,20
Cc1nnc2sc(COc3ccc(Cl)cc3)nn2c1=O,20
Clc1ccc(-c2c[nH]nc2N2CCOCC2)cc1,18
COc1cccc(Oc2ccc(NC(C)=O)cc2)c1,19
O=c1[nH]c(-c2ccccc2)nn1-c1ccccc1Cl,19
CC#Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1N,19
COc1ccc(C(=O)Nc2c(C)cccc2C)cc1,19
Cc1cccc(C)c1NC(=O)c1ccc(C#N)cc1,19
Nc1nc2c(ncn2C2CCC(CO)O2)c(=O)[nH]1,18
c1ccc(CSc2ncnc3ccccc23)nc1,18
Nc1ncnc2c1ncn2C1OC(CO)CC1F,18
COc1ccc(Cc2cnc(N)nc2N)cc1OC,19
COc1cc(O)cc(CCc2ccc(O)c(OC)c2)c1,20
COc1c(C)cnc(CSc2nccn2C)c1C,18
O=c1cc(-c2ccncc2)nc(-c2cccnc2)[nH]1,19
O=c1c2ccccc2oc2nc3n(c(=O)c12)CCCS3,20
NC(=O)c1cccc2[nH]c(-c3ccc(O)cc3)nc12,19
CC(C)CCNC(=O)c1c[nH]c2ccccc2c1=O,19
CC(C)c1cccc(C(C)C)c1NCc1ccccn1,20
CC1CCC(NC(=O)c2cc3ccccc3o2)CC1,19
CCOC(=O)c1c(N)c(C#N)cn1-c1ccccc1,19
Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1,19
O=C(Nc1ccnc2[nH]ncc12)c1ccccc1Cl,19
CCOC(=O)Cn1nc(C(F)(F)F)c(Br)c1C,17
O=C(COc1ccc(Cl)cc1Cl)Nc1nccs1,18
COC1OC2COC(c3ccccc3)OC2CC1O,19
CC(C)Nc1nc(NC(C)C)nc(N(C)C(N)=O)n1,19
CCC(=O)NC1CC(C(C)(C)NC(=O)CC)CC=C1C,20
Nc1ccc(-c2nc3cc(Cl)ccc3o2)c(O)c1,18
O=C(NCc1ccccn1)c1ccc(Cl)c(Cl)c1,18
NC(=O)c1c(NC(=O)c2ccco2)sc2c1CCCC2,20
CCOC(=O)c1cnc2c(Br)c(=O)[nH]n2c1C,17
Cc1cc(-c2ccccc2)n2[nH]c(=O)c(Br)c2n1,18
CCc1c(C)sc(NC(=O)c2cccs2)c1C(=O)OC,20
O=C(COc1ccc(Cl)cc1Cl)N1CCOCC1,18
Cc1ccc(NC(=O)COc2ccccc2)cc1F,19
CC(=O)Nc1ccc(S(=O)(=O)NC(C)(C)C)cc1,18
O=C1OC(C2OC(=O)c3ccccc32)c2ccccc21,20
CC(=O)Nc1ccc(C(=O)Nc2ccc(C)cc2)cc1,20
CC(=O)Nc1ccc(C(=O)Nc2cccc(Br)c2)cc1,20
CC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,19
CC(=O)Nc1ccc(C(=O)Nc2cccc(Cl)c2)cc1,20
C=CCn1c(SCC(=O)OC)nc2ccccc2c1=O,20
NC(=O)CSc1nnc(SCc2ccccc2)s1,18
CCOC(=O)c1c(C)[nH]c(C)c1-c1ccccc1OC,20
CCC(C)NC(=O)Cn1nc(C(F)(F)F)c(Cl)c1C,19
NC(=O)C1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,19
CC(=O)c1c(C)n(Cc2ccco2)c2ccc(O)cc12,20
O=C1COc2ccc(C(=O)c3ccccc3)cc2CN1,20
Cc1cccc(OCC(=O)NCc2cccnc2)c1C,20
COc1cccc(C(=O)Nc2ccc(C(C)=O)cc2)c1,20
CCCN(CCC)S(=O)(=O)c1ccc(NC(C)=O)cc1,20
CCC(CO)NS(=O)(=O)c1ccc(NC(C)=O)cc1,19
CC(=O)Nc1ccc(S(=O)(=O)N(C)CCO)cc1,18
CC(=O)Nc1ccc(S(=O)(=O)NC2CCCC2)cc1,19
CC1CCN(C(=O)c2ccccc2Br)CC1,16
COc1ccc(CC(=O)N(C)C2CCCCC2)cc1,19
O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1,20
CN(C1CCCCC1)S(=O)(=O)c1ccccc1,17
CC1CCCCN1S(=O)(=O)c1ccc(Cl)cc1,17
Cc1ccc(S(=O)(=O)NCCc2ccccc2)cc1,19
COc1ccc(S(=O)(=O)N(C)C2CCCCC2)cc1,19
CCN(c1ccccc1)S(=O)(=O)c1ccc(OC)cc1,20
O=S(=O)(Nc1ccccc1)c1ccc(F)cc1,17
Cc1ccccc1NS(=O)(=O)c1ccc(F)cc1,18
O=S(=O)(NCCc1ccccc1)c1ccc(F)cc1,19
CC1CCCCN1S(=O)(=O)c1ccc(F)cc1,17
CC(C)N(Cc1ccccc1)C(=O)c1ccccc1,19
O=C(c1ccc(Cl)cc1)N1CCc2ccccc2C1,19
CCN(Cc1ccccc1)C(=O)c1ccc(OC)cc1,20
CCN(C(=O)c1ccc(OC)cc1)C1CCCCC1,19
O=C(c1ccccc1Cl)N1CCc2ccccc2C1,19
O=C(NCc1ccccn1)c1ccc(Cl)cc1Cl,18
O=C(NCC1CCCO1)c1ccc(Cl)cc1Cl,17
COc1ccc(CNC(=O)c2ccccc2Br)cc1,19
COc1ccccc1CNC(=O)c1ccccc1Br,19
CC1CCCN(C(=O)c2ccccc2Br)C1,16
CC1CC(C)CN(C(=O)c2ccccc2Br)C1,17
O=C(c1ccccc1Br)N1CCCCC1CO,17
COc1ccc(CC(=O)N(C)c2ccccc2)cc1,19
COc1ccc(CC(=O)N2CC(C)CC(C)C2)cc1,19
C=CCN(CC=C)C(=O)c1c(OC)cccc1OC,19
Cc1cccc(C(=O)N2CCc3ccccc3C2)c1,19
O=C(Nc1cc(C(F)(F)F)ccc1Cl)c1cccnc1,20
O=C(Nc1cccc(C(F)(F)F)c1)c1cccnc1,19
O=C(Nc1cc(Cl)ccc1Cl)c1cccnc1,17
O=C(Nc1ccc(Cl)c(Cl)c1)c1cccnc1,17
O=C(Nc1cc(Cl)cc(Cl)c1)c1cccnc1,17
O=C(Nc1cccc(Cl)c1Cl)c1cccnc1,17
O=C(Nc1ccc(Cl)cc1Cl)c1cccnc1,17
COc1ccc(NC(=O)c2cccnc2)c(OC)c1,19
COc1ccc(Cl)cc1NC(=O)c1cccs1,17
COc1ccc(OC)c(NC(=O)c2cccs2)c1,18
CC(C)N(Cc1ccccc1)C(=O)c1cccs1,18
O=C(c1cccs1)N1CCN(c2ccc(F)cc2)CC1,20
CCOC(=O)N1CCN(C(=O)c2cccs2)CC1,18
COc1ccccc1CNS(=O)(=O)c1ccccc1,19
CCN(Cc1ccccc1)S(=O)(=O)c1ccccc1,19
O=S(=O)(c1ccccc1)N(CCO)Cc1ccccc1,20
O=S(=O)(c1ccccc1)N(CCO)C1CCCCC1,19
COc1ccc(CNS(=O)(=O)c2ccc(Cl)cc2)cc1,20
CCN(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,20
C=CCN(CC=C)S(=O)(=O)c1ccc(C)cc1,17
Cc1ccc(S(=O)(=O)N2CCCC(C)C2)cc1,17
Cc1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1,20
C=CCN(CC=C)S(=O)(=O)c1ccc(OC)cc1,18
COc1ccc(S(=O)(=O)N2CCCC(C)C2)cc1,18
COc1ccc(S(=O)(=O)NCc2ccccn2)cc1,19
COc1ccc(S(=O)(=O)NCC2CCCO2)cc1,18
Cc1cc(C)c(S(=O)(=O)NCC(C)C)c(C)c1,17
CCC(C)NS(=O)(=O)c1c(C)cc(C)cc1C,17
Cc1cc(C)c(S(=O)(=O)NCc2ccccn2)c(C)c1,20
Cc1cc(C)c(S(=O)(=O)NCC2CCCO2)c(C)c1,19
O=S(=O)(Nc1ccccc1F)c1ccc(F)cc1,18
COc1ccc(CNS(=O)(=O)c2ccc(F)cc2)cc1,20
COc1ccccc1CNS(=O)(=O)c1ccc(F)cc1,20
CCN(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1,20
CN(c1ccccc1)S(=O)(=O)c1ccc(F)cc1,18
C=CCN(CC=C)S(=O)(=O)c1ccc(F)cc1,17
CC(NS(=O)(=O)c1ccc(F)cc1)c1ccccc1,19
CC1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,17
O=S(=O)(NCC1CCCO1)c1ccc(F)cc1,17
CCC(C)NS(=O)(=O)c1cc(Cl)ccc1Cl,16
CS(=O)(=O)Nc1cc(C(F)(F)F)ccc1Cl,16
COc1cc(NS(C)(=O)=O)c(OC)cc1Cl,16
CS(=O)(=O)Nc1ccc(OCc2ccccc2)cc1,19
CS(=O)(=O)N1CCN(c2cccc(Cl)c2)CC1,17
CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1,17
COc1ccccc1N1CCN(S(C)(=O)=O)CC1,18
CCN(CC)C(=O)c1ccccc1Br,14
COc1ccc(CC(=O)Nc2ccccc2OC)cc1,20
O=C(Nc1ccc(Br)cc1)c1cccnc1,16
CCN(CC)C(=O)c1cccc(C(=O)N(CC)CC)c1,20
CCN(CC)C(=O)c1ccc(C(=O)N(CC)CC)cc1,20
O=S(=O)(NCc1ccccc1)c1ccc(Cl)cc1,18
CCN(CC)S(=O)(=O)c1c(C)cc(C)cc1C,17
Cc1cccc(NS(=O)(=O)c2ccc(F)cc2)c1,18
CS(=O)(=O)NC(c1ccccc1)c1ccccc1,18
CCOC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,20
CCOC(=O)C1CCN(C(=O)c2ccccc2Cl)CC1,20
COc1ccc(CC(=O)N2CCc3ccccc32)cc1,20
COc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1,20
CCC1CCCCN1S(=O)(=O)c1ccc(F)cc1,18
CN(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1,19
CC(=O)Nc1cccc(NC(=O)c2ccccc2)c1,19
CC1CN(C(=O)c2ccc(Br)cc2)CC(C)O1,17
CC(=O)Nc1cccc(NC(=O)c2ccc(C)cc2)c1,20
CC(=O)Nc1cccc(NC(=O)c2ccc(Cl)cc2)c1,20
CC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1,20
COC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1,20
COC(=O)c1ccc(NC(=O)c2ccccc2C)cc1,20
COc1cccc(OC)c1C(=O)N1CCOCC1,18
CC(=O)Nc1cccc(NC(=O)c2cccs2)c1,18
Cc1ccc(S(=O)(=O)Nc2cccc(F)c2)cc1,18
COc1ccc(S(=O)(=O)Nc2ncccn2)cc1,18
COC(=O)CNS(=O)(=O)c1c(C)cc(C)cc1C,18
O=S(=O)(Nc1cccc(F)c1)c1ccc(F)cc1,18
CC1CN(S(=O)(=O)c2ccc(F)cc2)CC(C)O1,18
O=S(=O)(N=c1cccc[nH]1)c1cc(Cl)ccc1Cl,18
COC(=O)CNS(=O)(=O)c1cc(Cl)ccc1Cl,17
Cc1cc(Br)ccc1NS(C)(=O)=O,13
CCC(C)NS(=O)(=O)c1ccc(NC(C)=O)cc1,18
O=C(c1cccc(Cl)c1)N1CCc2ccccc2C1,19
CC(=O)Nc1cccc(NC(=O)c2cccc(Cl)c2)c1,20
O=C(c1ccccc1F)N1CCc2ccccc2C1,19
COC(=O)c1ccc(NC(=O)c2ccccc2F)cc1,20
CC(=O)Nc1cccc(NC(=O)c2ccccc2F)c1,20
O=C(c1ccc(F)cc1)N1CCc2ccccc2C1,19
CCOC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,20
COc1cc(NC(=O)C(C)C)c(OC)cc1Cl,17
COC(=O)c1ccc(C(=O)OC)c(NC(=O)C(C)C)c1,20
COC(=O)c1cc(NC(=O)C(C)C)cc(C(=O)OC)c1,20
CC(C)C(=O)N(Cc1ccccc1)c1ccccn1,19
O=S(=O)(Cc1ccccc1)Nc1ccccc1F,18
O=S(=O)(Cc1ccccc1)Nc1ccc(F)cc1,18
CCOc1ccc(NS(=O)(=O)Cc2ccccc2)cc1,20
COc1ccccc1CNS(=O)(=O)Cc1ccccc1,20
CN(c1ccccc1)S(=O)(=O)Cc1ccccc1,18
C=CCN(CC=C)S(=O)(=O)Cc1ccccc1,17
CC(NS(=O)(=O)Cc1ccccc1)c1ccccc1,19
O=S(=O)(Cc1ccccc1)NCc1ccccn1,18
O=S(=O)(Cc1ccccc1)NC1CCCCCC1,18
O=S(=O)(Cc1ccccc1)N1CCCCCC1,17
O=S(=O)(Cc1ccccc1)N1CCc2ccccc2C1,20
CCCN(CCC)S(=O)(=O)Cc1ccccc1,17
O=S(=O)(Cc1ccccc1)NC1CCCCC1,17
O=S(=O)(Cc1ccccc1)NCc1ccccc1,18
COc1ccc(NS(=O)(=O)Cc2ccccc2)cc1,19
CN(Cc1ccccc1)S(=O)(=O)Cc1ccccc1,19
CN(C1CCCCC1)S(=O)(=O)Cc1ccccc1,18
Cc1ccccc1NS(=O)(=O)Cc1ccccc1,18
CCN(c1ccccc1)S(=O)(=O)Cc1ccccc1,19
O=S(=O)(Cc1ccccc1)Nc1nc2ccccc2s1,20
O=S(=O)(Nc1cccnc1)c1ccc(Br)cc1,17
COC(=O)CNS(=O)(=O)c1ccc(Br)cc1,16
O=C(c1cccc(Br)c1)N1CCc2ccccc2C1,19
O=C(Nc1ccccn1)c1cccc(Br)c1,16
O=C(c1cccc(Br)c1)N1CCOCC1,15
C=CCN(CC=C)C(=O)c1ccc(Cl)c(Cl)c1,17
O=C(NCC1CCCO1)c1ccc(Cl)c(Cl)c1,17
COC(=O)CNC(=O)c1ccc(Cl)c(Cl)c1,16
O=C(c1ccc(Cl)c(Cl)c1)N1CCOCC1,16
C=CCN(CC=C)C(=O)c1ccc(OC)cc1OC,19
COc1ccc(C(=O)NCc2ccccc2)c(OC)c1,20
COc1ccc(C(=O)N2CCCCC2C)c(OC)c1,19
COc1ccc(C(=O)N2CC(C)OC(C)C2)c(OC)c1,20
COc1ccc(C(=O)N2CCCC(C)C2)cc1OC,19
COc1ccc(C(=O)NCC2CCCO2)cc1OC,19
COc1ccc(C(=O)NCc2ccccc2)cc1OC,20
COc1ccc(C(=O)Nc2ncccc2C)cc1OC,20
COc1cc(OC)cc(C(=O)NCC2CCCO2)c1,19
CCCN(CCC)C(=O)c1cc(OC)cc(OC)c1,19
COC(=O)CNC(=O)c1cc(OC)cc(OC)c1,18
COc1ccc(CNC(=O)c2ccc(C)c(C)c2)cc1,20
Cc1ccc(C(=O)N(C)Cc2ccccc2)cc1C,19
CCOc1ccc(C(=O)Nc2cccc(OC)c2)cc1,20
CCOc1ccc(C(=O)N2CC(C)CC(C)C2)cc1,19
CCOc1ccc(C(=O)NCc2ccccc2)cc1,19
CCOc1ccc(C(=O)Nc2ccccc2OC)cc1,20
CCOc1ccc(C(=O)N2CCc3ccccc32)cc1,20
CCOc1ccc(C(=O)NCCc2ccccc2)cc1,20
O=C(Nc1cc(Cl)ccc1Cl)c1ccco1,16
O=C(Nc1cccc(Cl)c1Cl)c1ccco1,16
COc1cccc(C(=O)NC(C)c2ccccc2)c1,19
COc1cccc(C(=O)NCc2ccc(C)cc2)c1,19
Cc1ccc(CNC(=O)c2ccc(N(C)C)cc2)cc1,20
CC(=O)Oc1ccc(C(=O)NCC2CCCO2)cc1,19
CCCN(CCC)C(=O)c1ccc(OC(C)=O)cc1,19
CC(=O)Oc1ccc(C(=O)NCc2cccnc2)cc1,20
CC(=O)Oc1ccc(C(=O)Nc2cccc(C)n2)cc1,20
CC(=O)Nc1ccc(C(=O)N(C)c2ccccc2)cc1,20
CC(=O)Nc1ccc(C(=O)NC2CCCCCC2)cc1,20
CC(=O)Nc1ccc(C(=O)NC2CCCCC2)cc1,19
CC(=O)Nc1ccc(C(=O)Nc2cccc(C)c2)cc1,20
CC(=O)Nc1ccc(C(=O)Nc2ccccc2C)cc1,20
CC(=O)Nc1ccc(C(=O)N2CCCCC2C)cc1,19
C=CCN(CC=C)C(=O)c1ccccc1OC(C)=O,19
CC(=O)Oc1ccccc1C(=O)N1CC(C)CC(C)C1,20
CC(=O)Oc1ccccc1C(=O)NCC1CCCO1,19
CC(=O)Oc1ccccc1C(=O)Nc1ccccc1C,20
CC(=O)Oc1ccccc1C(=O)N1CC(C)OC(C)C1,20
CC(C)(C)c1ccc(C(=O)NCc2cccnc2)cc1,20
CC1CCCN(C(=O)c2cc(Cl)ccc2Cl)C1,17
O=C(Nc1cccnc1)c1cc(Cl)ccc1Cl,17
CC1CN(C(=O)c2cc(Cl)ccc2Cl)CC(C)O1,18
CC1CCCN(C(=O)c2c(Cl)cccc2Cl)C1,17
O=C(c1c(Cl)cccc1Cl)N1CCOCC1,16
CC1CN(C(=O)c2c(Cl)cccc2Cl)CC(C)O1,18
COc1ccc(CC(=O)N2CCCCCC2)cc1OC,20
COc1ccccc1CC(=O)Nc1ccc(C)cc1,19
COc1ccccc1CC(=O)N1CC(C)OC(C)C1,19
O=C(Nc1ccccc1F)c1ccc2c(c1)OCO2,19
COc1cccc(NC(=O)c2ccc3c(c2)OCO3)c1,20
O=C(Nc1ccc(F)cc1)c1ccc2c(c1)OCO2,19
CC(NC(=O)c1ccc2c(c1)OCO2)c1ccccc1,20
O=C(NCc1ccccn1)c1ccc2c(c1)OCO2,19
O=C(Nc1ccc(Cl)cc1)c1ccc2c(c1)OCO2,19
COc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1,20
COc1ccccc1NC(=O)c1ccc2c(c1)OCO2,20
O=C(c1ccc2c(c1)OCO2)N1CCc2ccccc21,20
CN(Cc1ccccc1)C(=O)c1ccc2c(c1)OCO2,20
O=C(NCCc1ccccc1)c1ccc2c(c1)OCO2,20
O=C(Nc1cccc(Br)c1)c1ccc2c(c1)OCO2,19
CCOc1cc(C(=O)N(C)C)cc(OCC)c1OCC,20
COc1ccc(CNC(=O)N2CCOCC2)cc1,18
COc1ccccc1CNC(=O)N1CCOCC1,18
CCC(C)c1ccc(NC(=O)N2CCOCC2)cc1,19
CCOC(=O)N1CCN(C(=O)N2CCOCC2)CC1,19
